candidate_id,candidate_name,family,repo_location,branch_if_any,scientific_status,duplication_status,primary_source,backup_source,historical_start,historical_end,resolution,timestamp_quality,timezone_quality,raw_data_available,free_access,credentials_required,bulk_download,api_available,raw_preservation,hashable,revision_risk,survivorship_risk,lookahead_risk,source_mutation_risk,single_source_dependency,point_in_time_capability,discovery_oos_holdout_feasible,source_complexity,blocking_reason,status,smallest_authorized_next_step
"USD-NET-LIQUIDITY-001","USD net liquidity","MACRO_FLOW","labs/USD_NET_LIQUIDITY_001","usd-net-liquidity-v0.1","DISCOVERY_FAIL_NO_PROMOTION","DISTINCT","Official public macro series with vintages","ALFRED","2018-01-01","2024-12-31","daily/weekly derived","MEDIUM","UTC normalized","YES","YES","NO","YES","YES","YES","YES","MEDIUM","LOW","MEDIUM","MEDIUM","MEDIUM","PARTIAL","ALREADY_CONSUMED","MEDIUM","Exact MVE closed","SCIENTIFICALLY_CLOSED","No formula or subperiod rescue"
"BTC-FEE-PRESSURE-001","Bitcoin fee pressure","FLOW_ONCHAIN","research/btc_fee_pressure","btc-fee-pressure-v0.5-discovery","DISCOVERY_FAIL_NO_PROMOTION","DISTINCT","Bitcoin chain fees and Binance Data Vision","Public chain explorers","2021-01-01","2024-12-31","daily","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Exact fee-pressure MVE closed","SCIENTIFICALLY_CLOSED","Any new blockspace mechanism needs a new ID and freeze"
"BTC-SETTLEMENT-DEMAND-001","Bitcoin settlement demand","FLOW_ONCHAIN","btc settlement branches","btc-settlement-demand-v0.3-discovery-bindfix","TERMINAL_CLOSED","DISTINCT","Bitcoin chain data","Public explorer APIs","frozen","frozen","block/daily","HIGH on chain","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Exact lineage closed","SCIENTIFICALLY_CLOSED","Preserve closeout"
"MINER-STRESS-001","Bitcoin miner stress","FLOW_SUPPLY","miner stress branch","miner-stress-v0.1","TERMINAL_CLOSED","DISTINCT","Bitcoin chain and public market archives","None needed","frozen","frozen","daily","MEDIUM","UTC","PARTIAL","YES","NO","PARTIAL","YES","YES","YES","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","PARTIAL","ALREADY_CONSUMED","MEDIUM","Exact lineage archived","SCIENTIFICALLY_CLOSED","Do not clone miner-flow variants"
"ONCHAIN-CAPFLOW-V0.1","On-chain capital flow","FLOW","onchain capflow branches","onchain-capflow-discovery-action-v01a","MVE0_FAIL_LINEAGE_CLOSED","DISTINCT","Public on-chain metrics","Provider-specific backup","frozen","frozen","daily","MEDIUM","UTC","PARTIAL","PARTIAL","MAYBE","PARTIAL","YES","PARTIAL","YES","HIGH","MEDIUM","MEDIUM","HIGH","HIGH","PARTIAL","ALREADY_CONSUMED","MEDIUM","Exact tested implementation closed","SCIENTIFICALLY_CLOSED","Preserve source and scientific semantics"
"ETF-CME-INSTFLOW-001","CFTC CME institutional flow","FLOW","crypto_edge_radar/deployment_registry_v1.json","etf-cme-institutional-flow-v0.1","FORWARD_SHADOW_ACTIVE","DISTINCT","CFTC Legacy COT contract 133741","CFTC historical compressed files","historical authority frozen","PROSPECTIVE_ONLY","weekly","HIGH with publication lag","US federal release clock to UTC","YES","YES","NO","YES","YES","YES","YES","MEDIUM","LOW","HIGH if as-of used early","MEDIUM","LOW","YES with release lag","YES under existing authority","LOW","Already active; release/as-of clock and revisions require controls","DATA_READY_WITH_CONTROLS","Continue existing shadow; do not start a new historical mine"
"BNB-LAUNCHPOOL-DEMAND-001","BNB Launchpool demand","EVENT_SUPPLY","crypto_edge_radar/deployment_registry_v1.json","bnb-launchpool-demand-forward-shadow-v01","FORWARD_SHADOW_ACTIVE","DISTINCT","Official Binance Launchpool CMS","Binance announcement page and BNB BTC market archive","historical authority frozen","PROSPECTIVE_ONLY","announcement plus 15m bars","HIGH prospectively","UTC normalized","YES","YES","NO","PARTIAL","YES","YES","YES","MEDIUM","LOW","LOW prospectively","MEDIUM","MEDIUM","YES prospectively","FORWARD_ONLY","MEDIUM","Rare events and CMS mutation; already active","DATA_READY_WITH_CONTROLS","Continue existing prospective watcher and immutable receipts"
"OPTIONS-SPOTPERP-001-V2.1","Options skew to spot/perp","VOL","crypto_edge_radar/deployment_registry_v1.json","options-spotperp-v21-live-shadow-v0.1","FORWARD_SHADOW_ACTIVE","DISTINCT","Deribit public option trades/API","Binance BTCUSDT daily archive","2021-04-01","PROSPECTIVE_ONLY","trade and daily","HIGH","UTC","YES","YES","NO","PARTIAL","YES","YES","YES","MEDIUM","LOW for BTC","MEDIUM","MEDIUM","MEDIUM","YES with instrument lifecycle","YES under existing freeze","MEDIUM","Public-history sparsity and instrument lifecycle; already active","DATA_READY_WITH_CONTROLS","Continue frozen forward evidence only"
"TFG-DONCHIAN-REGIME-ADAPTATION-V1","Donchian regime adaptation","TREND","crypto_edge_radar/deployment_registry_v1.json","crypto-edge-radar-donchian-v0.7","FORWARD_ONLY_ACTIVE","DISTINCT","MEXC Spot public market data","Binance spot archive for diagnostics only","PROSPECTIVE_ONLY","PROSPECTIVE_ONLY","bar","HIGH","UTC","YES","YES","NO","NO historical bulk at same quality","YES","YES prospectively","YES","MEDIUM","LOW","LOW prospectively","MEDIUM","HIGH","YES prospectively","FORWARD_ONLY","MEDIUM","No retrospective source path of equal authority; already active","DATA_READY_WITH_CONTROLS","Continue existing forward watcher only"
"HTF-DH03-12H-STANDALONE-FORWARD-V1","12H standalone Donchian forward","TREND","crypto_edge_radar/deployment_registry_v1.json","htf-dh03-12h-standalone-forward-v0.1","FORWARD_ARCHIVE_SHADOW_ACTIVE","DISTINCT","Binance public archive with checksums","Binance public websocket","warmup historical","PROSPECTIVE_ONLY","12h plus daily archive arrival","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","LOW prospectively","MEDIUM","LOW","YES","FORWARD_ONLY","LOW","Already active; archive publication lag and funding reconciliation","DATA_READY_WITH_CONTROLS","Continue existing archive-shadow boundary"
"CED1D-0031","CED 1D forward candidate","TREND","research/ced_1d_v3 and governance","avax20-cross-venue-causal-decomposition-v0.1","PROSPECTIVE_SHADOW_ACTIVE","DISTINCT","Binance byte-exact archives","OKX source replication route","frozen historical","PROSPECTIVE_ONLY","daily plus funding","HIGH after recovery","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","MEDIUM","LOW prospectively","MEDIUM","MEDIUM","YES","FORWARD_ONLY","MEDIUM","Already active and authority-bound","DATA_READY_WITH_CONTROLS","Continue existing boundary; no new candidate selection"
"STETH-REDEMPTION-BASIS-001","stETH redemption basis pre-activation boundary","MR_RV","research/steth_redemption_basis","steth-redemption-basis-002-source-v0.1","FROZEN_SOURCE_BOUNDARY_PROVENANCE_FAILURE","DISTINCT","Ethereum archive RPC","SQD logs","2023-05-15","2024-12-31","daily block state","HIGH if supported","UTC","PARTIAL","YES","NO","NO","YES","YES","YES","LOW chain revision; high provider availability","LOW","LOW","MEDIUM","MEDIUM","FAILED at frozen boundary","NO","HIGH","Frozen first snapshot precedes required canonical V2 state","SOURCE_BLOCKED","Keep terminal; do not shift its boundary"
"STETH-REDEMPTION-BASIS-002","stETH protocol redemption convergence","MR_RV","research/steth_redemption_basis_002","steth-redemption-basis-002-discovery-v0.1","SOURCE_DATA_PASS_PROTOCOL_FROZEN_NO_CANONICAL_VERDICT","DISTINCT","Three public Ethereum archive RPC routes plus SQD Ethereum logs","Cross-provider quorum","2023-05-16T12:00:00Z","2024-12-31T12:00:00Z","daily snapshot with block/event resolution","HIGH","UTC","YES","YES","NO","NO","YES","YES","YES","LOW after finality; provider availability medium","LOW","LOW with frozen clock","MEDIUM","LOW due provider quorum","YES","YES","HIGH","RPC 429 throughput and canonical-run precedence","DATA_READY_WITH_CONTROLS","Verify no admissible closeout then run exact transport-remediated one-shot Discovery"
"ETH-STAKING-FLOW-001-XATU","Ethereum validator entry exit flow","FLOW_SUPPLY","research/eth_staking_flow","eth-staking-flow-v0.3-xatu","SOURCE_ONLY_FROZEN_PROBE_PENDING","DISTINCT","Xatu public canonical beacon validator Parquet","Beacon API spot checks","2023-04-12","2024-12-31","epoch snapshot aggregated daily","HIGH if table passes","UTC","YES in principle","YES","NO","YES","YES","YES","YES","MEDIUM schema drift","LOW","LOW with point-in-time partition","MEDIUM","MEDIUM","PENDING_PROBE","POSSIBLE_AFTER_SOURCE_PASS","MEDIUM","Exact table schema and first-epoch temporal alignment not yet proven","SOURCE_PROBE_REQUIRED","Execute only frozen four-date Xatu source feasibility probe"
"AAVE-CREDIT-STRESS-001","Aave USDC borrow-rate stress","CREDIT","research Aave credit stress","aave-credit-stress-discovery-v0.1","DISCOVERY_CLOSED","DISTINCT","SQD Ethereum logs plus Binance archive","Public archive RPC","2023-01-01","2024-12-31","event to daily","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","ALREADY_CONSUMED","MEDIUM","Discovery already adjudicated","SCIENTIFICALLY_CLOSED","Preserve closeout; no sign or horizon rescue"
"AAVE-RISK-PARAMETER-SHOCK-001","Aave governance risk-parameter shocks","CREDIT_EVENT","research/aave_risk_parameter_shock","aave-risk-parameter-shock-v0.1","EXACT_PRIMARY_MECHANISM_TERMINAL_INSUFFICIENT_SAMPLE","DISTINCT","SQD Ethereum logs and governance execution receipts","Archive RPC","Aave V3 history","2024-12-31","event/block","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","NO sample gate","HIGH","Exact frozen independence sample gate failed before outcomes","SCIENTIFICALLY_CLOSED","A materially different mechanism needs a new prospective ID"
"AAVE-LIQUIDATION-OVERHANG-001","Latent Aave liquidation inventory","CREDIT_MICRO","protected research registry","aave-liquidation-overhang-v0.1","ARCHIVE_RPC_QUORUM_BLOCKED","DISTINCT","Aave V3 on-chain borrower state","SQD logs and subgraph","2022-01-01","2024-12-31","daily block state","HIGH in principle","UTC","PARTIAL","PARTIAL","Archive-capable access may be required","NO","YES","YES if acquired","YES","LOW chain revision; high access risk","LOW","LOW","MEDIUM","HIGH","YES in principle","NO","VERY_HIGH","Historical borrower-state reconstruction failed archive-RPC quorum","SOURCE_BLOCKED","Wait for legitimate archival-state source; do not lower quorum"
"DEFI-LIQUIDATION-SHOCK-001","Solana DeFi liquidation shock","MICRO_CREDIT","protected research registry","defi-liquidation-shock-v0.1","SOURCE_REMEDIATION_AUTHORIZED_DISCOVERY_CLOSED","DISTINCT","BigQuery public Solana dataset","Raw archival RPC reconciliation","2021-01-01","2024-12-31","transaction/instruction","HIGH if decoded","UTC","PARTIAL","PARTIAL","BigQuery and possibly authorized RPC key","YES","YES","YES","YES","MEDIUM dataset lag","MEDIUM protocol survivorship","LOW before outcomes","MEDIUM","MEDIUM","PENDING_COVERAGE_GATE","POSSIBLE_AFTER_SOURCE_PASS","HIGH","Protocol coverage decoder and raw-chain reconciliation incomplete","SOURCE_PROBE_REQUIRED","Run source-only coverage/candidate census and sample reconciliation"
"L2-RESILIENCY-001","Order-book sweep replenishment","MICRO","research/l2_resiliency","l2-resiliency-v0.1","DISCOVERY_SUPPORTED_VALIDATION_SOURCE_CLOCK_BLOCKED","DISTINCT","Hyperliquid official l2Book requester-pays archive","None equivalent","2024-01-01","2025 validation boundary","subsecond snapshots","MEDIUM until clock normalized","UTC fields conflict","YES","CONDITIONAL","Requester-pays authorization","YES","NO","YES","YES","LOW","LOW","CRITICAL clock risk","MEDIUM","HIGH","PARTIAL","VALIDATION_AFTER_CLOCK_PASS","HIGH","Envelope versus payload clock semantics unresolved for validation","SOURCE_PROBE_REQUIRED","Run only frozen full-corpus clock diagnostic"
"ORDERBOOK-RESILIENCE-001","True L2 refill after depletion","MICRO","research/orderbook_resilience","orderbook-resilience-v0.1","SOURCE_TEMPORAL_RESOLUTION_FAIL","DISTINCT","Binance USD-M bookDepth archive","No free full-depth equivalent proven","2023-01-01","2024-12-31","coarse aggregated depth","LOW for required mechanism","UTC","YES","YES","NO","YES","NO","YES","YES","LOW","LOW","MEDIUM","LOW","HIGH","NO for true refill","NO","MEDIUM","Public source is too coarse and not reconstructable full L2","SOURCE_BLOCKED","Require a new independent full-depth source and authority"
"LIQUIDATION-PRESSURE-001","Centralized-venue liquidation pressure","MICRO","labs/LIQUIDATION_PRESSURE_001","liquidation-pressure-tardis-source-v0.2","PUBLIC_ROUTE_INSUFFICIENT_PREMIUM_ROUTE_UNAUTHORIZED","NEAR_DUPLICATE","Venue liquidation feeds and archives","Tardis licensed history","frozen","2024-12-31","event","MEDIUM","UTC","PARTIAL","PARTIAL","Premium source needed for complete history","PARTIAL","YES","PARTIAL","YES","MEDIUM","LOW","MEDIUM","MEDIUM","HIGH","PARTIAL","NO","HIGH","Free history lacks complete auditable multivenue corpus","DATA_FRAGILE","Do not buy data; wait for public immutable corpus or authorized entitlement"
"STABLECOIN-PEG-DISLOCATION-001","USDCUSDT peg dislocation","MR_RV","labs/STABLECOIN_PEG_DISLOCATION_001","stablecoin-peg-dislocation-v0.1","DISCOVERY_FAIL_NO_PROMOTION","DISTINCT","Binance Data Vision Spot","Binance REST","2022-09-26","2024-12-31","minute","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES","ALREADY_CONSUMED","LOW","Exact MVE closed","SCIENTIFICALLY_CLOSED","Any new stablecoin mechanism needs a new prospective authority"
"SDS-CURVE3POOL-PEG-001","Curve 3pool DEX stress","MR_MICRO","research/stablecoin_dex_stress_v0_1","stablecoin-dex-stress-source-v0.2-sqd","EXACT_SOURCE_FORMULA_PROVENANCE_FAILURE_CLOSED","DISTINCT","SQD Ethereum TokenExchange logs","Archive RPC","2021-01-01","2024-12-31","event","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","LOW","LOW","LOW","LOW","LOW","YES but formula undefined","NO","MEDIUM","Frozen log-ratio formula undefined for canonical zero-quantity events","SCIENTIFICALLY_CLOSED","New formula requires a new prospective mechanism ID"
"STABLECOIN-EXCHANGE-FLOW-001","Stablecoin exchange flow","FLOW","labs/STABLECOIN_EXCHANGE_FLOW_001","stablecoin-exchange-flow-v0.1","DISCOVERY_CLOSED","DISTINCT","Public chain and exchange basket sources","Coin Metrics community and RPC checks","frozen","frozen","daily/block","MEDIUM","UTC","YES","YES","NO","YES","YES","YES","YES","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","PARTIAL","ALREADY_CONSUMED","HIGH","Official Discovery closeout exists","SCIENTIFICALLY_CLOSED","Preserve closeout"
"STABLECOIN-SUPPLY-LIQUIDITY-001","Stablecoin supply liquidity impulse","FLOW_SUPPLY","labs/STABLECOIN_SUPPLY_LIQUIDITY_001","stablecoin-supply-liquidity-impulse-v0.1","DISCOVERY_CLOSED","NEAR_DUPLICATE","Public stablecoin supply series","Chain data","frozen","frozen","daily","MEDIUM","UTC","PARTIAL","YES","NO","PARTIAL","YES","YES","YES","MEDIUM","MEDIUM","MEDIUM","MEDIUM","MEDIUM","PARTIAL","ALREADY_CONSUMED","MEDIUM","Discovery closeout exists","SCIENTIFICALLY_CLOSED","Do not mutate supply window"
"PROTOCOL-DEMAND-001","Protocol fees and revenue demand","FLOW","research/protocol_demand_v0_1","protocol-demand-v0.1","SOURCE_GOVERNANCE_BLOCKED","DISTINCT","DefiLlama public fees/revenue","Protocol-native chain data","historical full response","2024-12-31 ceiling","daily","MEDIUM","UTC","YES","YES","NO","YES","YES","YES","YES","HIGH methodology revision","HIGH protocol survivorship","CRITICAL protected-boundary risk","HIGH","HIGH","PARTIAL","NO","MEDIUM","Free endpoint returns full history beyond authorized boundary","SOURCE_BLOCKED","Require server-side end date or frozen archive ending 2024-12-31"
"EXCHANGE-DELISTING-SHOCK-001-V04","Exchange delisting access shock","ACCESS_EVENT","research/exchange_delisting_shock_001","exchange-delisting-shock-v0.4-symbol-identity-source","OUTCOME_BLIND_SOURCE_CONTRACT_FROZEN","DISTINCT","Official Binance support announcements","Binance Data Vision Spot","candidate 2021","2024-12-31","event plus minute bars","HIGH if pages preserved","UTC normalized","PARTIAL","YES","NO","PARTIAL","PARTIAL","YES","YES","HIGH announcement mutation","HIGH delisting bias","MEDIUM","HIGH","HIGH","PENDING_CENSUS","POSSIBLE_AFTER_SOURCE_PASS","HIGH","Exact token identity and all-pairs cessation population not yet passed","SOURCE_PROBE_REQUIRED","Execute V0.4 source-only event census"
"UPBIT-KRW-LISTING-SHOCK-001","Upbit KRW listing access shock","ACCESS_EVENT","research/upbit_krw_listing_shock_001","upbit-krw-listing-shock-v0.1","SOURCE_ACCESS_BLOCKED","DISTINCT","Official Upbit announcements API","Archived official pages","frozen","2024-12-31","event","HIGH if accessible","KST to UTC","NO","YES","NO","NO","YES but HTTP 403","NO","NO","HIGH","HIGH","MEDIUM","HIGH","HIGH","NO CURRENTLY","NO","MEDIUM","Official announcement endpoint returned HTTP 403","SOURCE_BLOCKED","Wait for legitimate official archive access"
"PERPETUAL-LAUNCH-SHOCK-001","Perpetual market launch shock","ACCESS_EVENT","research/perpetual_launch_shock_001","perpetual-launch-shock-v0.1-source-gate","TERMINAL_NO_CAUSAL_LAUNCH_INTENSITY_EDGE","DISTINCT","Official exchange announcements and market archives","None needed","frozen","frozen","event plus bars","HIGH","UTC","YES","YES","NO","YES","YES","YES","YES","MEDIUM","HIGH","LOW","MEDIUM","MEDIUM","YES","ALREADY_CONSUMED","MEDIUM","Exact mechanism terminal","SCIENTIFICALLY_CLOSED","No event-definition or horizon rescue"
"TOKEN-UNLOCK-EVENT-001","Token unlock event pressure","SUPPLY_EVENT","research/token_unlock_event_001","token-unlock-event-001-source-gate-v01","DISCOVERY_CLOSED_NO_EDGE","DISTINCT","Provider point-in-time unlock manifests plus Binance archives","DefiLlama snapshots","2023-01-01","2024-12-31","event/daily","MEDIUM","UTC","YES","PARTIAL","Provider route may require access","YES","YES","YES","YES","HIGH","HIGH","MEDIUM","HIGH","HIGH","PARTIAL","ALREADY_CONSUMED","HIGH","Exact MVE closed","SCIENTIFICALLY_CLOSED","No unlock threshold or universe rescue"
"SUPPLY-DILUTION-001","Historical circulating-supply dilution","SUPPLY","research/supply_dilution_v0_1","supply-dilution-001-source-gate-v01","SOURCE_AUTH_BLOCKED_UNTESTED","DISTINCT","Historical supply and point-in-time universe provider","CoinGecko price history","2021-01-01","2024-12-31","daily","MEDIUM","UTC","NO complete free corpus","NO","YES","YES","YES","YES if licensed","YES","HIGH","CRITICAL","MEDIUM","HIGH","HIGH","PARTIAL","NO","HIGH","Free route cannot reconstruct historical universe and circulating supply","SOURCE_BLOCKED","Wait for authorized point-in-time provider or archived academic corpus"
"WHALE-CEX-NETFLOW-001","Whale exchange netflow","FLOW","labs/WHALE_CEX_NETFLOW_001","whale-cex-netflow-v0.1","PRE_SOURCE_FROZEN_UNEXECUTED","DISTINCT","Glassnode Point-in-Time API","None with equivalent attribution","frozen","2024-12-31","daily","MEDIUM","UTC","NO","NO","YES","YES","YES","YES if entitled","YES","HIGH attribution revision","HIGH address survivorship","MEDIUM","HIGH","HIGH","PARTIAL","NO","HIGH","Critical point-in-time attributed flow is premium and mutable","SOURCE_BLOCKED","No purchase; wait for authorized entitlement with vintage audit"
