event_id,T0_utc,source_families_attempted,query_pattern,accepted_pre_T0_fields,result,reason
US_CPI_2021-11-10,2021-11-10T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-11-10 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_CPI_2021-12-10,2021-12-10T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States CPI forecast consensus 2021-12-10 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-01-08,2021-01-08T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-01-08 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-02-05,2021-02-05T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-02-05 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-03-05,2021-03-05T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-03-05 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-04-02,2021-04-02T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-04-02 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-05-07,2021-05-07T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-05-07 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-06-04,2021-06-04T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-06-04 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-07-02,2021-07-02T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-07-02 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-08-06,2021-08-06T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-08-06 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-09-03,2021-09-03T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-09-03 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-10-08,2021-10-08T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-10-08 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-11-05,2021-11-05T12:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-11-05 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
US_NFP_2021-12-03,2021-12-03T13:30:00Z,"Reuters pre-release previews and polls; institutional research (BMO, Scotia, TD, Wells Fargo, ING); public historical calendars (Investing, Trading Economics, Forex Factory, Nasdaq, Yahoo); BLS archives; FRED/ALFRED vintage endpoints; public web/archive discovery",United States EMPLOYMENT_SITUATION forecast consensus 2021-12-03 pre-release,0,"No field-explicit, timestamp-defensible pre-T0 record accepted",Post-release/current mutable/untimestamped items excluded; snippets are discovery only.
